,length,error
0,87.0,14.299345016479492
1,87.0,14.943450927734375
2,87.0,14.294232368469238
3,87.0,14.143864631652832
4,87.0,12.98403549194336
5,87.0,13.05701732635498
6,87.0,4.113368034362793
7,87.0,3.5213451385498047
8,87.0,14.50663948059082
9,87.0,14.279586791992188
10,87.0,15.009632110595703
11,87.0,13.604135513305664
12,87.0,14.698883056640625
13,87.0,12.980605125427246
14,87.0,4.719879150390625
15,87.0,1.6714839935302734
16,87.0,13.03921890258789
17,87.0,3.567394733428955
18,87.0,4.32185173034668
19,87.0,3.841769218444824
20,87.0,14.369136810302734
21,87.0,14.503469467163086
22,87.0,13.966658592224121
23,87.0,3.9034295082092285
24,87.0,13.8646240234375
25,87.0,15.820405960083008
26,107.0,15.597235679626465
27,107.0,12.905332565307617
28,107.0,18.76118278503418
29,107.0,13.828667640686035
30,107.0,19.717050552368164
31,107.0,20.180912017822266
32,107.0,3.9868216514587402
33,107.0,21.70865249633789
34,107.0,20.557369232177734
35,107.0,17.40911102294922
36,107.0,14.380075454711914
37,107.0,5.040454864501953
38,107.0,18.050216674804688
39,107.0,0.783937931060791
40,107.0,6.186792850494385
41,107.0,18.32742691040039
42,107.0,21.37325668334961
43,107.0,20.266969680786133
44,107.0,18.01044464111328
45,107.0,4.516324043273926
46,107.0,18.991188049316406
47,107.0,16.55480194091797
48,107.0,19.055484771728516
49,107.0,19.91135025024414
50,62.0,16.499732971191406
51,62.0,32.38894271850586
52,62.0,1.2797393798828125
53,62.0,12.72236442565918
54,62.0,17.233455657958984
55,62.0,4.379650115966797
56,62.0,7.924748420715332
57,62.0,15.570270538330078
58,62.0,13.9315824508667
59,62.0,6.4612836837768555
60,62.0,7.843645095825195
61,62.0,19.277969360351562
62,62.0,12.594550132751465
63,62.0,12.462240219116211
64,62.0,8.999042510986328
65,62.0,6.805444717407227
66,62.0,9.426403045654297
67,62.0,17.78549575805664
68,62.0,6.748661041259766
69,62.0,3.373685836791992
70,62.0,9.245160102844238
71,62.0,7.057604789733887
72,62.0,19.8852481842041
73,62.0,20.449684143066406
74,62.0,18.29375457763672
75,89.0,21.09981918334961
76,89.0,19.067646026611328
77,90.0,14.207437515258789
78,89.0,23.97798728942871
79,89.0,3.6285953521728516
80,90.0,12.94399642944336
81,90.0,2.1973562240600586
82,89.0,14.230266571044922
83,90.0,18.159690856933594
84,89.0,2.4828338623046875
85,89.0,18.75837516784668
86,90.0,17.632307052612305
87,90.0,25.292598724365234
88,89.0,4.689807891845703
89,90.0,17.928993225097656
90,89.0,21.10065269470215
91,89.0,18.122257232666016
92,90.0,17.724008560180664
93,90.0,16.300621032714844
94,89.0,23.171123504638672
95,90.0,9.282013893127441
96,89.0,18.160425186157227
97,90.0,9.779780387878418
98,90.0,16.4735164642334
99,89.0,12.900920867919922
100,90.0,1.5667152404785156
101,90.0,21.139619827270508
102,90.0,18.647497177124023
103,89.0,21.613449096679688
104,90.0,18.274002075195312
105,89.0,5.131789207458496
106,89.0,5.323393821716309
107,89.0,18.176410675048828
108,89.0,5.680900573730469
109,90.0,7.557285308837891
110,90.0,15.111096382141113
111,90.0,21.923547744750977
112,90.0,9.216987609863281
113,90.0,26.581647872924805
114,89.0,12.757317543029785
115,90.0,17.64189910888672
116,90.0,18.057924270629883
117,89.0,19.15376853942871
118,90.0,17.459714889526367
119,89.0,20.415861129760742
120,90.0,6.687485694885254
121,90.0,1.8214998245239258
122,89.0,2.146738052368164
123,89.0,7.708043098449707
124,89.0,18.509143829345703
125,89.0,18.76757049560547
126,89.0,18.69989776611328
127,19.0,3.7282447814941406
128,19.0,4.052241802215576
129,19.0,3.3955583572387695
130,19.0,4.109378814697266
131,19.0,3.6536731719970703
132,19.0,4.076012134552002
133,19.0,3.654017448425293
134,19.0,3.715404987335205
135,19.0,3.8959403038024902
136,19.0,4.122708320617676
137,19.0,3.6788930892944336
138,19.0,4.019796371459961
139,19.0,3.9137558937072754
140,19.0,4.167222499847412
141,19.0,4.018918991088867
142,19.0,4.0294952392578125
143,19.0,4.182502269744873
144,19.0,3.9978384971618652
145,19.0,3.9640016555786133
146,21.0,4.618783473968506
147,21.0,4.502743721008301
148,21.0,4.71397590637207
149,21.0,4.849667072296143
150,21.0,4.750178813934326
151,21.0,4.6381330490112305
152,21.0,4.5955095291137695
153,21.0,4.991150856018066
154,21.0,4.429579734802246
155,21.0,4.706348419189453
156,21.0,4.815731048583984
157,21.0,4.448471546173096
158,21.0,5.182097434997559
159,21.0,4.63494873046875
160,21.0,4.349457263946533
161,21.0,4.844598770141602
162,21.0,4.56912899017334
163,21.0,4.689075469970703
164,21.0,4.694544792175293
165,21.0,4.9178080558776855
166,21.0,4.0374369621276855
167,21.0,3.0872669219970703
168,17.0,6.167366981506348
169,17.0,5.608246803283691
170,17.0,4.27085542678833
171,17.0,4.5954365730285645
172,17.0,4.9773712158203125
173,17.0,5.693820953369141
174,17.0,4.241057872772217
175,17.0,4.73603630065918
176,17.0,5.352303981781006
177,17.0,4.514871120452881
178,17.0,6.052300453186035
179,17.0,4.7630085945129395
180,17.0,5.693502426147461
181,17.0,4.439696788787842
182,17.0,4.362786293029785
183,17.0,4.480967044830322
184,17.0,5.400792598724365
185,17.0,5.674619197845459
186,17.0,5.193173408508301
187,17.0,3.7755112648010254
188,17.0,4.728508949279785
189,17.0,5.037864685058594
190,17.0,4.517464637756348
191,136.0,19.08652114868164
192,136.0,15.689936637878418
193,136.0,3.8905344009399414
194,136.0,0.9149284362792969
195,136.0,1.1179547309875488
196,136.0,3.828597068786621
197,136.0,24.09127426147461
198,136.0,0.5872235298156738
199,136.0,0.06369590759277344
200,136.0,9.416831970214844
201,136.0,16.008651733398438
202,136.0,16.17405128479004
203,136.0,19.422536849975586
204,136.0,0.5307483673095703
205,136.0,7.839475631713867
206,136.0,8.7894868850708
207,136.0,0.8866009712219238
208,136.0,15.434258460998535
209,136.0,25.708406448364258
210,136.0,8.075108528137207
211,136.0,14.656250953674316
212,136.0,15.232458114624023
213,136.0,31.93320655822754
214,136.0,0.056940555572509766
215,136.0,16.210674285888672
216,136.0,16.447816848754883
217,136.0,1.049696445465088
218,136.0,19.6896915435791
219,19.0,7.060218334197998
220,19.0,5.159305095672607
221,19.0,6.171663761138916
222,19.0,5.177877426147461
223,19.0,4.470180511474609
224,19.0,5.060468673706055
225,19.0,4.9466094970703125
226,19.0,5.178716659545898
227,19.0,5.522055149078369
228,19.0,6.995946884155273
229,19.0,5.189535617828369
230,19.0,6.756041049957275
231,19.0,5.564749717712402
232,19.0,7.079010009765625
233,19.0,5.287837028503418
234,19.0,4.207999229431152
235,19.0,7.273721694946289
236,19.0,5.737508773803711
237,19.0,5.582209587097168
238,19.0,3.5476183891296387
239,19.0,7.1887359619140625
240,35.0,5.820884704589844
241,35.0,5.146321773529053
242,35.0,6.614925384521484
243,35.0,6.722375392913818
244,35.0,6.7203898429870605
245,35.0,7.634109973907471
246,35.0,5.940569877624512
247,35.0,7.274286270141602
248,35.0,5.962384223937988
249,35.0,5.345848560333252
250,35.0,6.131225109100342
251,35.0,5.744525909423828
252,35.0,6.69666862487793
253,35.0,5.430071830749512
254,35.0,7.009294509887695
255,35.0,7.6687211990356445
256,35.0,5.29572868347168
257,35.0,7.291749954223633
258,35.0,6.219256401062012
259,35.0,5.789295196533203
260,35.0,7.01020622253418
261,35.0,6.525080680847168
262,16.0,1.1005849838256836
263,16.0,5.464356422424316
264,16.0,2.0141563415527344
265,16.0,5.314420223236084
266,16.0,2.005157470703125
267,16.0,5.380972862243652
268,16.0,5.196134567260742
269,16.0,2.2985568046569824
270,16.0,2.0357918739318848
271,16.0,5.502786636352539
272,16.0,2.045804977416992
273,16.0,5.2332634925842285
274,16.0,5.254779815673828
275,16.0,2.7058401107788086
276,16.0,1.9920129776000977
277,16.0,5.418623924255371
278,16.0,2.164694309234619
279,16.0,2.3697595596313477
280,16.0,5.389184951782227
281,16.0,5.1004743576049805
282,16.0,5.370746612548828
283,16.0,4.509879112243652
284,16.0,2.1688342094421387
285,16.0,1.9092788696289062
286,96.0,14.597126007080078
287,96.0,21.423843383789062
288,96.0,14.487428665161133
289,96.0,14.434020042419434
290,96.0,21.391490936279297
291,96.0,14.39009952545166
292,96.0,14.636251449584961
293,96.0,14.591745376586914
294,96.0,15.81551456451416
295,96.0,17.080669403076172
296,96.0,14.622140884399414
297,96.0,14.476945877075195
298,96.0,19.10659408569336
299,96.0,17.473369598388672
300,96.0,21.612815856933594
301,96.0,14.601988792419434
302,96.0,22.077377319335938
303,96.0,14.912899017333984
304,96.0,14.691347122192383
305,96.0,17.18891716003418
306,96.0,19.218036651611328
307,96.0,14.358011245727539
308,96.0,14.89053726196289
309,96.0,23.116607666015625
310,96.0,14.51070499420166
311,96.0,14.095556259155273
312,96.0,14.384090423583984
313,70.0,5.9781084060668945
314,70.0,3.232454299926758
315,70.0,7.215339660644531
316,70.0,6.419704437255859
317,70.0,4.116535186767578
318,70.0,4.377707481384277
319,70.0,6.00639533996582
320,70.0,4.838129043579102
321,70.0,3.6691713333129883
322,70.0,5.726322174072266
323,70.0,5.416399002075195
324,70.0,5.728282928466797
325,70.0,4.521636962890625
326,70.0,6.392429351806641
327,70.0,6.354846000671387
328,70.0,6.399603843688965
329,70.0,4.048178672790527
330,70.0,6.068750381469727
331,70.0,6.323592185974121
332,70.0,6.394338607788086
333,70.0,5.697418212890625
334,70.0,5.60617733001709
335,70.0,6.136024475097656
336,23.0,5.888731002807617
337,23.0,1.9498319625854492
338,23.0,3.805842399597168
339,23.0,3.661632537841797
340,23.0,5.495513439178467
341,23.0,5.312215805053711
342,23.0,3.721672534942627
343,23.0,3.0745511054992676
344,23.0,3.423252582550049
345,23.0,4.469525337219238
346,23.0,1.751723289489746
347,23.0,5.383334159851074
348,23.0,4.860876083374023
349,23.0,5.136808395385742
350,23.0,1.9935998916625977
351,23.0,2.9354920387268066
352,23.0,2.970146656036377
353,23.0,1.9429244995117188
354,23.0,2.332852363586426
355,23.0,5.377248287200928
356,23.0,4.0809006690979
357,23.0,5.377433776855469
358,34.0,1.958707332611084
359,34.0,2.457052230834961
360,34.0,2.9843716621398926
361,34.0,0.44768619537353516
362,34.0,2.219545364379883
363,34.0,1.3864798545837402
364,34.0,3.0695528984069824
365,34.0,1.2532663345336914
366,34.0,3.001016139984131
367,34.0,2.357837200164795
368,34.0,3.2811784744262695
369,34.0,3.2165298461914062
370,34.0,1.5128355026245117
371,34.0,2.046755790710449
372,34.0,1.5095939636230469
373,34.0,0.33084583282470703
374,34.0,1.5242938995361328
375,34.0,3.169325351715088
376,34.0,0.48867321014404297
377,34.0,0.7341470718383789
378,34.0,2.4368200302124023
379,34.0,1.9769864082336426
380,34.0,0.22750091552734375
381,34.0,0.8855552673339844
382,71.0,13.531651496887207
383,71.0,7.018245697021484
384,71.0,7.281067848205566
385,71.0,17.777820587158203
386,71.0,15.897468566894531
387,71.0,17.763328552246094
388,71.0,17.197200775146484
389,71.0,5.463641166687012
390,71.0,18.09364128112793
391,71.0,16.5816593170166
392,71.0,2.8675670623779297
393,71.0,16.878437042236328
394,71.0,16.66240692138672
395,71.0,5.105990409851074
396,71.0,17.539146423339844
397,71.0,7.153773307800293
398,71.0,16.92281723022461
399,71.0,6.78504753112793
400,71.0,17.23996353149414
401,71.0,6.737636566162109
402,71.0,18.42906951904297
403,71.0,18.127986907958984
404,71.0,9.730196952819824
405,30.0,7.9033050537109375
406,30.0,2.294449806213379
407,30.0,6.98078727722168
408,30.0,6.946113586425781
409,30.0,3.6592226028442383
410,30.0,6.6194658279418945
411,30.0,6.210148811340332
412,30.0,7.14613151550293
413,30.0,7.507890701293945
414,30.0,7.151801109313965
415,30.0,2.62752628326416
416,30.0,6.1883039474487305
417,30.0,1.2397890090942383
418,30.0,8.175971984863281
419,30.0,6.223760604858398
420,30.0,6.887469291687012
421,30.0,6.773380279541016
422,30.0,0.23984813690185547
423,30.0,6.148646354675293
424,30.0,1.8367414474487305
425,30.0,7.28509521484375
426,30.0,5.882214546203613
427,22.0,3.1303329467773438
428,22.0,5.423794746398926
429,22.0,0.09256362915039062
430,22.0,8.216741561889648
431,22.0,5.467930793762207
432,22.0,9.710124969482422
433,22.0,9.537016868591309
434,22.0,8.192724227905273
435,22.0,7.013882637023926
436,22.0,7.165816307067871
437,22.0,1.2280387878417969
438,22.0,8.223783493041992
439,22.0,1.561772346496582
440,22.0,9.957276344299316
441,22.0,5.41948938369751
442,22.0,8.320183753967285
443,22.0,8.198080062866211
444,22.0,6.4050798416137695
445,22.0,8.749549865722656
446,22.0,7.922019004821777
447,22.0,2.9835000038146973
448,22.0,7.721418380737305
449,22.0,5.802048683166504
450,22.0,2.9626479148864746
451,22.0,5.438596725463867
452,72.0,6.392189979553223
453,72.0,9.443708419799805
454,72.0,14.162076950073242
455,72.0,14.034588813781738
456,72.0,9.810857772827148
457,72.0,4.8389081954956055
458,72.0,4.322936058044434
459,72.0,5.812126159667969
460,72.0,4.786653518676758
461,72.0,4.1503071784973145
462,72.0,4.9756317138671875
463,72.0,13.951129913330078
464,72.0,5.67210054397583
465,72.0,4.299808025360107
466,72.0,5.582653999328613
467,72.0,9.752250671386719
468,72.0,4.424335479736328
469,72.0,5.591540813446045
470,72.0,4.268801212310791
471,72.0,5.266059875488281
472,72.0,4.640415668487549
473,72.0,5.400321006774902
474,72.0,9.595640182495117
475,72.0,9.99212646484375
476,72.0,4.8764848709106445
477,72.0,6.029305458068848
478,44.0,4.268095016479492
479,44.0,8.936548233032227
480,44.0,8.002872467041016
481,44.0,6.059379577636719
482,44.0,7.8466691970825195
483,44.0,3.5007781982421875
484,44.0,4.224581718444824
485,44.0,5.733881950378418
486,44.0,7.232394218444824
487,44.0,4.130369186401367
488,44.0,3.1502418518066406
489,44.0,6.561498641967773
490,44.0,9.124143600463867
491,44.0,6.38525390625
492,44.0,9.997613906860352
493,44.0,7.671609878540039
494,44.0,5.287810325622559
495,44.0,10.573623657226562
496,44.0,4.385613441467285
497,44.0,8.882144927978516
498,44.0,4.057954788208008
499,44.0,7.997808456420898
500,44.0,5.502678871154785
501,44.0,9.957637786865234
502,44.0,8.166979789733887
503,44.0,4.396798133850098
504,47.0,2.588101387023926
505,47.0,4.958975315093994
506,47.0,4.452314376831055
507,47.0,4.704391002655029
508,47.0,5.1352739334106445
509,47.0,4.617086410522461
510,47.0,4.857461452484131
511,47.0,5.238856315612793
512,47.0,5.68043327331543
513,47.0,3.8425674438476562
514,47.0,3.326857566833496
515,47.0,2.0767335891723633
516,47.0,1.4504480361938477
517,47.0,4.400599479675293
518,47.0,5.284440040588379
519,47.0,4.812956809997559
520,47.0,3.2632460594177246
521,47.0,4.835575103759766
522,47.0,2.7936863899230957
523,47.0,2.439201831817627
524,47.0,3.312539577484131
