,length,error
0,24.0,2.137458324432373
1,24.0,1.5255708694458008
2,24.0,1.039541244506836
3,24.0,4.1878862380981445
4,24.0,2.1880087852478027
5,24.0,2.609088897705078
6,24.0,3.1946325302124023
7,24.0,1.090649127960205
8,24.0,0.07129955291748047
9,24.0,0.4955577850341797
10,24.0,0.991180419921875
11,24.0,0.8116235733032227
12,24.0,1.8913874626159668
13,24.0,2.6360206604003906
14,24.0,0.6436624526977539
15,24.0,2.3709702491760254
16,24.0,1.058152675628662
17,24.0,0.48429298400878906
18,24.0,2.5043387413024902
19,24.0,1.9840812683105469
20,24.0,0.600341796875
21,24.0,3.2112503051757812
22,24.0,1.128805160522461
23,24.0,0.7066750526428223
24,24.0,0.04500770568847656
25,24.0,1.0841493606567383
26,24.0,2.7448983192443848
27,24.0,0.16413497924804688
28,24.0,0.4247322082519531
29,24.0,1.4756903648376465
30,24.0,1.2942581176757812
31,24.0,0.9251022338867188
32,24.0,1.6921820640563965
33,24.0,1.9146251678466797
34,24.0,1.7580461502075195
35,24.0,3.6498847007751465
36,24.0,3.496194839477539
37,24.0,0.5242347717285156
38,24.0,2.1073827743530273
39,24.0,1.8345136642456055
40,24.0,2.6675453186035156
41,24.0,1.5119009017944336
42,24.0,0.7053089141845703
43,24.0,1.1531085968017578
44,24.0,1.8392829895019531
45,24.0,3.56840181350708
46,24.0,1.0621261596679688
47,24.0,0.9423151016235352
48,24.0,1.8025360107421875
49,24.0,0.4362974166870117
50,24.0,2.8459205627441406
51,24.0,0.9466252326965332
52,24.0,1.687032699584961
53,24.0,3.7930030822753906
54,24.0,0.27350521087646484
55,24.0,1.274549961090088
56,24.0,1.9116363525390625
57,24.0,3.0797653198242188
58,24.0,1.3536286354064941
59,24.0,0.44336891174316406
60,24.0,1.343069076538086
61,24.0,3.671065330505371
62,24.0,1.2605433464050293
63,24.0,1.0316438674926758
64,24.0,3.3312063217163086
65,24.0,2.5080766677856445
66,24.0,1.117030143737793
67,24.0,2.299846649169922
68,24.0,1.9784178733825684
69,24.0,0.47879886627197266
70,24.0,0.9015650749206543
71,24.0,0.3563995361328125
72,24.0,0.8017740249633789
73,24.0,0.4081606864929199
74,24.0,1.453108310699463
75,24.0,2.918534755706787
76,24.0,0.09067916870117188
77,24.0,2.505732536315918
78,24.0,1.763688087463379
79,24.0,1.8999323844909668
80,24.0,2.033830165863037
81,24.0,0.3858327865600586
82,24.0,0.2620582580566406
83,24.0,0.7462444305419922
84,24.0,1.385800838470459
85,24.0,3.7921037673950195
86,24.0,0.7505812644958496
87,24.0,0.653961181640625
88,24.0,0.3916029930114746
89,24.0,2.442160129547119
90,24.0,0.7404747009277344
91,24.0,0.2498321533203125
92,24.0,1.5387449264526367
93,24.0,2.382009983062744
94,24.0,3.0624780654907227
95,24.0,0.33416175842285156
96,24.0,5.204680442810059
97,24.0,2.667780876159668
98,24.0,1.2101497650146484
99,24.0,0.19878482818603516
100,24.0,0.5028800964355469
101,24.0,3.194488525390625
102,24.0,0.9695935249328613
103,24.0,0.14090681076049805
104,24.0,0.9928092956542969
105,24.0,1.9413552284240723
106,24.0,1.9520797729492188
107,24.0,0.6905269622802734
108,24.0,0.2702908515930176
109,24.0,1.1104936599731445
110,24.0,0.8662858009338379
111,24.0,0.8126945495605469
112,24.0,2.046619415283203
113,24.0,0.6837196350097656
114,24.0,0.33557701110839844
115,24.0,0.7093439102172852
116,24.0,0.8912897109985352
117,24.0,0.015469551086425781
118,24.0,0.756859302520752
119,24.0,0.8087239265441895
120,24.0,2.3903307914733887
121,24.0,0.3732614517211914
122,24.0,0.3888978958129883
123,24.0,1.5151548385620117
124,24.0,1.8967928886413574
125,24.0,0.6689481735229492
126,24.0,1.085158348083496
127,24.0,2.167965888977051
128,24.0,0.475893497467041
129,24.0,0.10562992095947266
130,24.0,0.37821483612060547
131,24.0,1.7638959884643555
132,24.0,0.5147390365600586
133,24.0,0.1849956512451172
134,24.0,3.2753243446350098
135,24.0,1.4609980583190918
136,24.0,1.306577205657959
137,24.0,1.6556568145751953
138,24.0,0.848876953125
139,24.0,1.4916291236877441
140,24.0,1.8623700141906738
141,24.0,3.6704068183898926
142,24.0,1.2987875938415527
143,24.0,1.466811180114746
144,24.0,2.80922269821167
145,24.0,3.1193342208862305
146,24.0,2.0388641357421875
147,24.0,0.22022342681884766
148,24.0,0.5347995758056641
149,24.0,2.538954734802246
150,24.0,1.8958797454833984
151,24.0,0.7140588760375977
152,24.0,0.4799046516418457
153,24.0,0.8446254730224609
154,24.0,0.47336816787719727
155,24.0,0.03418540954589844
156,24.0,2.347768783569336
157,24.0,1.2612600326538086
158,24.0,0.35173606872558594
159,24.0,3.109194755554199
160,24.0,0.2551002502441406
161,24.0,0.6748480796813965
162,24.0,0.8528428077697754
163,24.0,1.812779426574707
164,24.0,1.7395915985107422
165,24.0,4.783066272735596
166,24.0,1.3758487701416016
167,24.0,4.864623069763184
